score school subject
72.9 1 1
72.6 1 1
72.2 1 1
74.9 1 1
74.9 1 1
66.3 1 1
71.5 1 1
71 1 1
77 1 1
70.2 1 1
77.2 1 2
83.9 1 2
75.7 1 2
82 1 2
85.3 1 2
77.6 1 2
81 1 2
83.7 1 2
77.7 1 2
75.6 1 3
82.3 1 3
78.6 1 3
79.3 1 3
78.3 1 3
77.1 1 3
84.8 1 3
79.9 1 3
75.1 1 3
76.2 1 3
65.3 1 4
67.7 1 4
74.9 1 4
66.4 1 4
73 1 4
68.1 1 4
67.8 1 4
88.5 1 5
85.1 1 5
86.5 1 5
85.4 1 5
84 1 5
87.4 1 5
72.3 1 6
80.5 1 6
77.5 1 6
75.3 1 6
75.1 1 6
67.9 1 7
64.3 1 7
80.8 1 8
79.7 1 8
79.9 1 8
78.6 1 8
75.4 1 8
77 1 9
83 1 9
83.9 1 9
81 1 9
82.6 1 9
83.8 1 9
60.7 1 10
68.9 1 10
64.1 1 10
77.5 1 11
77.3 1 11
75.7 1 11
78.8 1 11
79.2 1 12
83.6 1 12
79.4 1 12
83.3 1 12
86.6 1 12
81.9 1 12
71.4 1 13
70.6 1 13
72.3 1 13
66.9 1 13
75.2 1 13
73.6 1 13
71.5 1 13
66.4 1 13
75.2 1 14
81.4 1 14
75.2 1 14
82.3 1 14
79.1 1 14
77.7 1 14
79.4 1 14
68.6 1 15
69.6 1 15
71.2 1 15
71.2 1 15
73.7 2 1
72.4 2 1
66.8 2 1
75.3 2 1
72.6 2 1
67 2 1
68.4 2 1
71.8 2 1
80.3 2 2
82.5 2 2
84.7 2 2
78.2 2 2
78.6 2 2
84.8 2 2
83.5 2 2
81.8 2 2
80 2 2
85.7 2 2
79.2 2 3
79.5 2 3
76.9 2 3
79.3 2 3
81.4 2 3
78.2 2 3
66.7 2 4
67.2 2 4
71.8 2 4
71.5 2 4
66.4 2 4
75.9 2 4
69 2 4
74.9 2 4
70.6 2 4
72.6 2 4
83.2 2 5
85.9 2 5
88.2 2 5
81.8 2 5
79.5 2 6
74.1 2 6
77.5 2 6
79.5 2 6
65 2 7
67.1 2 7
69.5 2 7
60.3 2 7
70.7 2 7
68.5 2 7
69.1 2 7
80.7 2 8
82.5 2 8
82 2 8
72 2 8
76.6 2 8
80.7 2 8
82.2 2 9
81.6 2 9
79 2 9
84.4 2 9
79.4 2 9
70.7 2 10
66.8 2 10
69.6 2 10
68.4 2 10
68.5 2 10
64.8 2 10
64.5 2 10
63.2 2 10
66.3 2 10
77.3 2 11
78.7 2 11
81.1 2 11
80 2 11
80.1 2 11
83.8 2 11
82 2 12
84.1 2 12
83.1 2 12
76.8 2 12
86.2 2 12
91.8 2 12
83.2 2 12
87.3 2 12
82.5 2 12
80.6 2 12
84.3 2 12
74.7 2 13
71 2 13
75.5 2 13
69.8 2 13
71.8 2 13
72.9 2 13
75.7 2 13
75.5 2 13
72.4 2 13
79.5 2 13
65.2 2 13
63.5 2 13
88.5 2 14
79.5 2 14
85 2 14
70.9 2 15
70 2 15
74 2 15
68.8 2 15
75.2 2 15
66.5 2 15
66.1 2 15
71.7 2 15
74.4 3 1
79.4 3 1
79 3 1
76.7 3 1
73 3 1
78.6 3 1
84.4 3 2
86.9 3 2
82.6 3 3
88.3 3 3
80.9 3 3
84.6 3 3
84.5 3 3
80.2 3 3
85.6 3 3
79.8 3 3
88 3 3
84.9 3 3
70.8 3 4
71.4 3 4
72.1 3 4
72.3 3 4
81.4 3 5
87.2 3 5
88 3 5
85.3 3 5
91.6 3 5
89.3 3 5
90.6 3 5
85 3 5
80.6 3 6
80.2 3 6
82.6 3 6
83.1 3 6
81 3 6
82.7 3 6
70.4 3 7
70.8 3 7
66.8 3 7
65.9 3 7
65.3 3 7
81.5 3 8
82 3 8
83.6 3 8
83.4 3 8
80.3 3 8
82.7 3 8
87.8 3 9
85.5 3 9
85.4 3 9
76.7 3 9
82.7 3 9
92.7 3 9
86.9 3 9
75.2 3 10
65.1 3 10
72.9 3 10
70 3 10
67.7 3 10
69.2 3 10
65.7 3 10
70.8 3 10
86.5 3 11
80.9 3 11
89.5 3 11
81.2 3 11
88.3 3 12
87.7 3 12
85 3 12
86.1 3 12
85.3 3 12
69.8 3 13
82.8 3 13
77.5 3 13
77.1 3 13
76.8 3 13
73.4 3 13
77.8 3 14
86 3 14
85.2 3 14
83.4 3 14
86.8 3 14
73.1 3 15
73.2 3 15
65.7 3 15
70.3 3 15
71.6 3 15
74.9 3 15
69.6 3 15
74.2 3 15
73.8 3 15
80 4 1
75.5 4 1
76 4 1
76 4 1
74.8 4 1
78.5 4 1
76.6 4 1
74.6 4 1
88.3 4 2
87.5 4 2
82 4 2
89.2 4 2
83.2 4 3
86 4 3
80.4 4 3
87 4 3
81.8 4 3
77.2 4 4
75.4 4 4
69.8 4 4
78.4 4 4
72.5 4 4
72.8 4 4
75.3 4 4
68.1 4 4
78.9 4 4
71.2 4 4
74.5 4 4
77.2 4 4
70.8 4 4
89.3 4 5
91.8 4 5
85.5 4 5
89 4 5
91.9 4 5
88.7 4 5
91.3 4 5
88.9 4 5
83.6 4 6
76.5 4 6
83.1 4 6
81.6 4 6
81.4 4 6
84.3 4 6
69.4 4 7
74.1 4 7
77 4 7
66.6 4 7
69.4 4 7
68.7 4 7
69.5 4 7
71.2 4 7
86.2 4 9
