score,school,subject,helper
0,72.9,1,1,0.0
1,72.6,1,1,0.0
2,72.2,1,1,0.0
3,74.9,1,1,0.0
4,74.9,1,1,0.0
5,66.3,1,1,0.0
6,71.5,1,1,0.0
7,71.0,1,1,0.0
8,77.0,1,1,0.0
9,70.2,1,1,0.0
10,77.2,1,2,0.0
11,83.9,1,2,0.0
12,75.7,1,2,0.0
13,82.0,1,2,0.0
14,85.3,1,2,0.0
15,77.6,1,2,0.0
16,81.0,1,2,0.0
17,83.7,1,2,0.0
18,77.7,1,2,0.0
19,75.6,1,3,0.0
20,82.3,1,3,0.0
21,78.6,1,3,0.0
22,79.3,1,3,0.0
23,78.3,1,3,0.0
24,77.1,1,3,0.0
25,84.8,1,3,0.0
26,79.9,1,3,0.0
27,75.1,1,3,0.0
28,76.2,1,3,0.0
29,65.3,1,4,0.0
30,67.7,1,4,0.0
31,74.9,1,4,0.0
32,66.4,1,4,0.0
33,73.0,1,4,0.0
34,68.1,1,4,0.0
35,67.8,1,4,0.0
36,88.5,1,5,0.0
37,85.1,1,5,0.0
38,86.5,1,5,0.0
39,85.4,1,5,0.0
40,84.0,1,5,0.0
41,87.4,1,5,0.0
42,72.3,1,6,0.0
43,80.5,1,6,0.0
44,77.5,1,6,0.0
45,75.3,1,6,0.0
46,75.1,1,6,0.0
47,67.9,1,7,0.0
48,64.3,1,7,0.0
49,80.8,1,8,0.0
50,79.7,1,8,0.0
51,79.9,1,8,0.0
52,78.6,1,8,0.0
53,75.4,1,8,0.0
54,77.0,1,9,0.0
55,83.0,1,9,0.0
56,83.9,1,9,0.0
57,81.0,1,9,0.0
58,82.6,1,9,0.0
59,83.8,1,9,0.0
60,60.7,1,10,0.0
61,68.9,1,10,0.0
62,64.1,1,10,0.0
63,77.5,1,11,0.0
64,77.3,1,11,0.0
65,75.7,1,11,0.0
66,78.8,1,11,0.0
67,79.2,1,12,0.0
68,83.6,1,12,0.0
69,79.4,1,12,0.0
70,83.3,1,12,0.0
71,86.6,1,12,0.0
72,81.9,1,12,0.0
73,71.4,1,13,0.0
74,70.6,1,13,0.0
75,72.3,1,13,0.0
76,66.9,1,13,0.0
77,75.2,1,13,0.0
78,73.6,1,13,0.0
79,71.5,1,13,0.0
80,66.4,1,13,0.0
81,75.2,1,14,0.0
82,81.4,1,14,0.0
83,75.2,1,14,0.0
84,82.3,1,14,0.0
85,79.1,1,14,0.0
86,77.7,1,14,0.0
87,79.4,1,14,0.0
88,68.6,1,15,0.0
89,69.6,1,15,0.0
90,71.2,1,15,0.0
91,71.2,1,15,0.0
92,73.7,2,1,0.0
93,72.4,2,1,0.0
94,66.8,2,1,0.0
95,75.3,2,1,0.0
96,72.6,2,1,0.0
97,67.0,2,1,0.0
98,68.4,2,1,0.0
99,71.8,2,1,0.0
100,80.3,2,2,0.0
101,82.5,2,2,0.0
102,84.7,2,2,0.0
103,78.2,2,2,0.0
104,78.6,2,2,0.0
105,84.8,2,2,0.0
106,83.5,2,2,0.0
107,81.8,2,2,0.0
108,80.0,2,2,0.0
109,85.7,2,2,0.0
110,79.2,2,3,0.0
111,79.5,2,3,0.0
112,76.9,2,3,0.0
113,79.3,2,3,0.0
114,81.4,2,3,0.0
115,78.2,2,3,0.0
116,66.7,2,4,0.0
117,67.2,2,4,0.0
118,71.8,2,4,0.0
119,71.5,2,4,0.0
120,66.4,2,4,0.0
121,75.9,2,4,0.0
122,69.0,2,4,0.0
123,74.9,2,4,0.0
124,70.6,2,4,0.0
125,72.6,2,4,0.0
126,83.2,2,5,0.0
127,85.9,2,5,0.0
128,88.2,2,5,0.0
129,81.8,2,5,0.0
130,79.5,2,6,0.0
131,74.1,2,6,0.0
132,77.5,2,6,0.0
133,79.5,2,6,0.0
134,65.0,2,7,0.0
135,67.1,2,7,0.0
136,69.5,2,7,0.0
137,60.3,2,7,0.0
138,70.7,2,7,0.0
139,68.5,2,7,0.0
140,69.1,2,7,0.0
141,80.7,2,8,0.0
142,82.5,2,8,0.0
143,82.0,2,8,0.0
144,72.0,2,8,0.0
145,76.6,2,8,0.0
146,80.7,2,8,0.0
147,82.2,2,9,0.0
148,81.6,2,9,0.0
149,79.0,2,9,0.0
150,84.4,2,9,0.0
151,79.4,2,9,0.0
152,70.7,2,10,0.0
153,66.8,2,10,0.0
154,69.6,2,10,0.0
155,68.4,2,10,0.0
156,68.5,2,10,0.0
157,64.8,2,10,0.0
